Date,Ticker,Close
1871/01/31,GFTRUSASTD,0.0182856
1871/02/28,GFTRUSASTD,0.0186269
1871/03/31,GFTRUSASTD,0.0191754
1871/04/30,GFTRUSASTD,0.0198299
1871/05/31,GFTRUSASTD,0.0203837
1871/06/30,GFTRUSASTD,0.0203121
1871/07/31,GFTRUSASTD,0.0200318
1871/08/31,GFTRUSASTD,0.0203289
1871/09/30,GFTRUSASTD,0.0206273
1871/10/31,GFTRUSASTD,0.0196544
1871/11/30,GFTRUSASTD,0.0199558
1871/12/31,GFTRUSASTD,0.0205264
1872/01/31,GFTRUSASTD,0.0211055
1872/02/29,GFTRUSASTD,0.0213093
1872/03/31,GFTRUSASTD,0.0220563
1872/04/30,GFTRUSASTD,0.0228071
1872/05/31,GFTRUSASTD,0.0229046
1872/06/30,GFTRUSASTD,0.0227827
1872/07/31,GFTRUSASTD,0.0227156
1872/08/31,GFTRUSASTD,0.0225496
1872/09/30,GFTRUSASTD,0.0223307
1872/10/31,GFTRUSASTD,0.0225031
1872/11/30,GFTRUSASTD,0.0225613
1872/12/31,GFTRUSASTD,0.0231861
1873/01/31,GFTRUSASTD,0.0234693
1873/02/28,GFTRUSASTD,0.0238128
1873/03/31,GFTRUSASTD,0.0237071
1873/04/30,GFTRUSASTD,0.0234913
1873/05/31,GFTRUSASTD,0.0236804
1873/06/30,GFTRUSASTD,0.0235225
1873/07/31,GFTRUSASTD,0.0236005
1873/08/31,GFTRUSASTD,0.023738
1873/09/30,GFTRUSASTD,0.0220368
1873/10/31,GFTRUSASTD,0.0202682
1873/11/30,GFTRUSASTD,0.0196679
1873/12/31,GFTRUSASTD,0.0216641
1874/01/31,GFTRUSASTD,0.0229184
1874/02/28,GFTRUSASTD,0.0236891
1874/03/31,GFTRUSASTD,0.0234835
1874/04/30,GFTRUSASTD,0.0229076
1874/05/31,GFTRUSASTD,0.0224717
1874/06/30,GFTRUSASTD,0.0224712
1874/07/31,GFTRUSASTD,0.022596
1874/08/31,GFTRUSASTD,0.0227834
1874/09/30,GFTRUSASTD,0.0232905
1874/10/31,GFTRUSASTD,0.0233547
1874/11/30,GFTRUSASTD,0.0236114
1874/12/31,GFTRUSASTD,0.0236778
1875/01/31,GFTRUSASTD,0.0238183
1875/02/28,GFTRUSASTD,0.0238952
1875/03/31,GFTRUSASTD,0.0242994
1875/04/30,GFTRUSASTD,0.024762
1875/05/31,GFTRUSASTD,0.023965
1875/06/30,GFTRUSASTD,0.0235655
1875/07/31,GFTRUSASTD,0.0237553
1875/08/31,GFTRUSASTD,0.0240125
1875/09/30,GFTRUSASTD,0.0238654
1875/10/31,GFTRUSASTD,0.0236504
1875/11/30,GFTRUSASTD,0.0241169
1875/12/31,GFTRUSASTD,0.0242489
1876/01/31,GFTRUSASTD,0.0249444
1876/02/29,GFTRUSASTD,0.0254359
1876/03/31,GFTRUSASTD,0.0255022
1876/04/30,GFTRUSASTD,0.0246474
1876/05/31,GFTRUSASTD,0.0238561
1876/06/30,GFTRUSASTD,0.0238457
1876/07/31,GFTRUSASTD,0.0236851
1876/08/31,GFTRUSASTD,0.0228069
1876/09/30,GFTRUSASTD,0.021563
1876/10/31,GFTRUSASTD,0.0215388
1876/11/30,GFTRUSASTD,0.0212952
1876/12/31,GFTRUSASTD,0.0212735
1877/01/31,GFTRUSASTD,0.0212351
1877/02/28,GFTRUSASTD,0.020083
1877/03/31,GFTRUSASTD,0.0191457
1877/04/30,GFTRUSASTD,0.0179012
1877/05/31,GFTRUSASTD,0.0180018
1877/06/30,GFTRUSASTD,0.0168088
1877/07/31,GFTRUSASTD,0.0175896
1877/08/31,GFTRUSASTD,0.0189001
1877/09/30,GFTRUSASTD,0.0201376
1877/10/31,GFTRUSASTD,0.0206815
1877/11/30,GFTRUSASTD,0.02045
1877/12/31,GFTRUSASTD,0.0204524
1878/01/31,GFTRUSASTD,0.0205365
1878/02/28,GFTRUSASTD,0.0202291
1878/03/31,GFTRUSASTD,0.0206316
1878/04/30,GFTRUSASTD,0.0213538
1878/05/31,GFTRUSASTD,0.0215211
1878/06/30,GFTRUSASTD,0.0220807
1878/07/31,GFTRUSASTD,0.0225611
1878/08/31,GFTRUSASTD,0.0223997
1878/09/30,GFTRUSASTD,0.0229722
1878/10/31,GFTRUSASTD,0.0228166
1878/11/30,GFTRUSASTD,0.0228278
1878/12/31,GFTRUSASTD,0.0227565
1879/01/31,GFTRUSASTD,0.023758
1879/02/28,GFTRUSASTD,0.0246773
1879/03/31,GFTRUSASTD,0.0244418
