Date,Ticker,Close
1814/12/31,TRUSACOM,0.1509219
1815/01/31,TRUSACOM,0.1515507
1815/02/28,TRUSACOM,0.1521822
1815/03/31,TRUSACOM,0.1498761
1815/04/30,TRUSACOM,0.150533
1815/05/31,TRUSACOM,0.1511928
1815/06/30,TRUSACOM,0.1533361
1815/07/31,TRUSACOM,0.1539917
1815/08/31,TRUSACOM,0.15465
1815/09/30,TRUSACOM,0.1553111
1815/10/31,TRUSACOM,0.1574993
1815/11/30,TRUSACOM,0.1581556
1815/12/31,TRUSACOM,0.1588146
1816/01/31,TRUSACOM,0.1594763
1816/02/29,TRUSACOM,0.1601408
1816/03/31,TRUSACOM,0.160808
1816/04/30,TRUSACOM,0.161478
1816/05/31,TRUSACOM,0.1621509
1816/06/30,TRUSACOM,0.1628265
1816/07/31,TRUSACOM,0.1635049
1816/08/31,TRUSACOM,0.1641862
1816/09/30,TRUSACOM,0.1648703
1816/10/31,TRUSACOM,0.1655573
1816/11/30,TRUSACOM,0.1662471
1816/12/31,TRUSACOM,0.1669398
1817/01/31,TRUSACOM,0.1676354
1817/02/28,TRUSACOM,0.1683339
1817/03/31,TRUSACOM,0.1690353
1817/04/30,TRUSACOM,0.1697396
1817/05/31,TRUSACOM,0.1704468
1817/06/30,TRUSACOM,0.171157
1817/07/31,TRUSACOM,0.1718702
1817/08/31,TRUSACOM,0.1725863
1817/09/30,TRUSACOM,0.1733054
1817/10/31,TRUSACOM,0.1740275
1817/11/30,TRUSACOM,0.1747526
1817/12/31,TRUSACOM,0.1754808
1818/01/31,TRUSACOM,0.1762119
1818/02/28,TRUSACOM,0.1769461
1818/03/31,TRUSACOM,0.1776834
1818/04/30,TRUSACOM,0.1784238
1818/05/31,TRUSACOM,0.1791672
1818/06/30,TRUSACOM,0.1799137
1818/07/31,TRUSACOM,0.1806634
1818/08/31,TRUSACOM,0.1814161
1818/09/30,TRUSACOM,0.182172
1818/10/31,TRUSACOM,0.1829311
1818/11/30,TRUSACOM,0.1836933
1818/12/31,TRUSACOM,0.1844587
1819/01/31,TRUSACOM,0.1852273
1819/02/28,TRUSACOM,0.185999
1819/03/31,TRUSACOM,0.186774
1819/04/30,TRUSACOM,0.1875523
1819/05/31,TRUSACOM,0.1883337
1819/06/30,TRUSACOM,0.1891185
1819/07/31,TRUSACOM,0.1899065
1819/08/31,TRUSACOM,0.1906977
1819/09/30,TRUSACOM,0.1914923
1819/10/31,TRUSACOM,0.1922902
1819/11/30,TRUSACOM,0.1930914
1819/12/31,TRUSACOM,0.1938959
1820/01/31,TRUSACOM,0.1947038
1820/02/29,TRUSACOM,0.1955151
1820/03/31,TRUSACOM,0.1963298
1820/04/30,TRUSACOM,0.1971478
1820/05/31,TRUSACOM,0.1979692
1820/06/30,TRUSACOM,0.1987941
1820/07/31,TRUSACOM,0.1996224
1820/08/31,TRUSACOM,0.2004542
1820/09/30,TRUSACOM,0.2012894
1820/10/31,TRUSACOM,0.2021281
1820/11/30,TRUSACOM,0.2029703
1820/12/31,TRUSACOM,0.203816
1821/01/31,TRUSACOM,0.2046653
1821/02/28,TRUSACOM,0.205518
1821/03/31,TRUSACOM,0.2063744
1821/04/30,TRUSACOM,0.2072343
1821/05/31,TRUSACOM,0.2080977
1821/06/30,TRUSACOM,0.2089648
1821/07/31,TRUSACOM,0.2117319
1821/08/31,TRUSACOM,0.2125929
1821/09/30,TRUSACOM,0.2134575
1821/10/31,TRUSACOM,0.2143255
1821/11/30,TRUSACOM,0.2163314
1821/12/31,TRUSACOM,0.2171985
1822/01/31,TRUSACOM,0.2180691
1822/02/28,TRUSACOM,0.2189432
1822/03/31,TRUSACOM,0.2198208
1822/04/30,TRUSACOM,0.220702
1822/05/31,TRUSACOM,0.2215866
1822/06/30,TRUSACOM,0.2218073
1822/07/31,TRUSACOM,0.2227038
1822/08/31,TRUSACOM,0.2236039
1822/09/30,TRUSACOM,0.2245076
1822/10/31,TRUSACOM,0.225415
1822/11/30,TRUSACOM,0.226326
1822/12/31,TRUSACOM,0.2272408
1823/01/31,TRUSACOM,0.225607
1823/02/28,TRUSACOM,0.226547
1823/03/31,TRUSACOM,0.2274909
1823/04/30,TRUSACOM,0.2284388
1823/05/31,TRUSACOM,0.2293907
1823/06/30,TRUSACOM,0.2336533
1823/07/31,TRUSACOM,0.2312698
1823/08/31,TRUSACOM,0.2331051
1823/09/30,TRUSACOM,0.2344179
1823/10/31,TRUSACOM,0.2353809
1823/11/30,TRUSACOM,0.2363479
1823/12/31,TRUSACOM,0.2373189
1824/01/31,TRUSACOM,0.2382939
1824/02/29,TRUSACOM,0.2392729
1824/03/31,TRUSACOM,0.2402559
1824/04/30,TRUSACOM,0.241243
1824/05/31,TRUSACOM,0.2422341
1824/06/30,TRUSACOM,0.2432293
1824/07/31,TRUSACOM,0.2442285
1824/08/31,TRUSACOM,0.2452319
1824/09/30,TRUSACOM,0.2462394
1824/10/31,TRUSACOM,0.247251
1824/11/30,TRUSACOM,0.2482668
1824/12/31,TRUSACOM,0.2492868
1825/01/31,TRUSACOM,0.2503109
1825/02/28,TRUSACOM,0.2513393
